station_id,s_no,battery_status,status_timestamp,weather_humidity,weather_temperature,weather_wind_speed
6,1,medium,1684571218153,0,28,60
6,2,low,1684571223320,34,86,114
6,3,medium,1684571224354,82,62,49
6,4,low,1684571225361,15,69,50
6,5,high,1684571226370,5,4,99
6,7,high,1684571227387,15,78,78
6,8,medium,1684571228389,72,99,141
6,9,high,1684571229401,89,39,79
6,10,low,1684571230407,92,63,137
6,11,medium,1684571231419,62,26,62
6,12,low,1684571232438,51,111,145
6,13,high,1684571233453,43,61,15
6,14,low,1684571234470,39,5,140
6,16,medium,1684571235480,60,148,120
6,17,high,1684571236486,8,44,109
6,18,high,1684571237495,59,37,25
6,19,low,1684571238497,93,113,118
6,20,medium,1684571239511,33,8,53
6,22,high,1684571240512,70,82,114
6,23,low,1684571241526,72,139,64
6,24,high,1684571242541,93,137,33
6,25,medium,1684571243550,97,115,21
6,26,medium,1684571244557,87,73,143
6,27,medium,1684571245573,58,135,101
6,28,high,1684571246588,50,67,112
6,29,low,1684571247590,9,58,55
6,30,low,1684571248605,41,104,97
6,32,medium,1684571249621,98,52,42
6,33,medium,1684571250622,78,135,66
6,34,low,1684571251639,94,140,127
6,35,high,1684571252653,15,37,141
6,36,medium,1684571253658,22,99,107
6,37,high,1684571254669,85,27,64
6,38,high,1684571255684,74,121,99
6,39,medium,1684571256691,84,30,113
6,40,low,1684571257705,17,61,67
6,41,high,1684571258715,19,74,15
6,42,low,1684571259729,18,6,116
6,43,high,1684571260731,94,83,6
6,44,medium,1684571261746,53,83,100
6,45,high,1684571262760,62,70,121
6,46,low,1684571263775,0,4,14
6,47,medium,1684571264792,20,64,64
6,49,medium,1684571265807,43,3,13
6,50,low,1684571266812,65,0,9
6,51,high,1684571267823,84,133,82
6,52,medium,1684571268837,40,35,64
6,53,low,1684571269838,13,59,64
6,54,medium,1684571270852,33,112,95
6,55,low,1684571271869,20,98,28
6,56,medium,1684571272883,6,15,82
6,58,medium,1684571273886,24,88,38
6,59,high,1684571274898,89,45,109
6,60,high,1684571275914,75,55,39
6,61,low,1684571276916,5,57,45
6,62,high,1684571277931,74,132,111
6,63,high,1684571278947,87,26,54
6,64,low,1684571279961,30,104,141
6,65,medium,1684571280962,38,140,17
6,66,medium,1684571281978,66,2,46
6,67,medium,1684571282991,33,92,144
6,69,low,1684571284010,55,30,64
6,70,high,1684571285019,75,63,84
6,71,medium,1684571286041,88,92,22
6,72,high,1684571287058,38,40,97
6,73,low,1684571288074,22,147,57
6,74,high,1684571289076,6,89,54
6,75,medium,1684571290089,24,71,63
6,76,low,1684571291093,34,45,120
6,78,low,1684571292101,35,10,94
6,79,medium,1684571293103,60,85,126
6,80,medium,1684571294115,39,40,68
6,81,high,1684571295117,21,125,111
6,83,low,1684571296131,6,24,15
6,84,medium,1684571297139,68,68,114
6,85,low,1684571298142,22,21,119
6,86,high,1684571299157,53,86,53
6,87,medium,1684571300171,88,111,116
6,88,medium,1684571301177,46,76,80
6,89,medium,1684571302187,36,65,30
6,90,low,1684571303202,79,128,139
6,91,low,1684571304204,43,119,136
6,92,medium,1684571305205,58,74,16
6,93,medium,1684571306224,77,133,139
6,94,low,1684571307241,26,89,68
6,95,high,1684571308253,71,92,52
6,96,high,1684571309264,48,0,99
6,98,low,1684571310265,65,130,66
6,99,medium,1684571311276,42,53,134
6,100,medium,1684571312278,23,98,148
6,101,high,1684571313294,26,70,91
6,102,low,1684571314310,33,27,101
6,103,high,1684571315311,43,2,109
6,104,low,1684571316314,49,92,10
6,105,medium,1684571317326,75,81,145
6,106,medium,1684571318341,45,120,32
6,107,high,1684571319354,19,14,38
6,108,low,1684571320364,7,3,13
6,110,medium,1684571321370,87,33,125
6,111,low,1684571322385,3,108,97
6,112,high,1684571323400,52,89,19
6,113,high,1684571324409,81,38,85
6,114,medium,1684571325418,2,123,139
6,115,medium,1684571326420,93,83,91
6,116,low,1684571327442,44,98,55
6,117,medium,1684571328447,20,13,114
6,118,high,1684571329450,98,42,34
6,120,low,1684571330463,88,65,17
6,122,low,1684571331469,86,47,90
6,123,high,1684571332480,70,65,116
6,124,high,1684571333494,31,74,22
6,125,medium,1684571334499,64,128,106
6,126,medium,1684571335509,68,112,71
6,127,medium,1684571336526,41,109,56
6,128,low,1684571337544,6,92,92
6,129,low,1684571338561,15,88,136
6,130,medium,1684571339573,61,38,80
6,132,low,1684571340582,9,143,99
6,133,medium,1684571341586,74,75,16
6,134,high,1684571342602,44,87,126
6,135,medium,1684571343618,17,118,117
6,136,low,1684571344633,91,15,44
6,137,low,1684571345656,36,123,105
6,138,medium,1684571346664,15,97,90
6,139,high,1684571347668,60,83,84
6,140,high,1684571348685,2,87,140
6,141,medium,1684571349702,92,47,60
6,142,high,1684571350716,28,82,7
6,143,medium,1684571351728,72,88,142
6,144,low,1684571352743,71,46,84
6,145,high,1684571353749,5,62,86
6,146,low,1684571354757,19,121,61
6,147,medium,1684571355773,15,20,137
6,149,high,1684571356785,45,134,92
6,150,medium,1684571357789,43,1,24
6,151,medium,1684571358791,46,34,39
6,153,low,1684571359807,21,142,149
6,154,medium,1684571360810,77,15,130
6,155,high,1684571361820,81,109,40
6,156,low,1684571362834,16,116,9
6,157,high,1684571363851,73,71,95
6,158,low,1684571364865,27,61,17
6,159,high,1684571365882,100,95,11
6,160,medium,1684571366892,98,83,126
6,161,low,1684571367895,0,96,57
6,162,medium,1684571368897,7,108,75
6,163,medium,1684571369913,18,109,148
6,164,medium,1684571370920,18,113,34
6,166,low,1684571371926,28,48,40
6,167,high,1684571372932,44,42,49
6,168,high,1684571373940,13,30,54
