station_id,s_no,battery_status,status_timestamp,weather_humidity,weather_temperature,weather_wind_speed
4,1,low,1684571220475,14,107,148
4,2,medium,1684571224857,13,21,42
4,4,medium,1684571225867,88,104,45
4,5,low,1684571226886,41,80,90
4,6,low,1684571227902,61,2,130
4,7,high,1684571228905,93,9,134
4,8,medium,1684571229907,37,2,52
4,9,high,1684571230912,72,65,43
4,10,medium,1684571231925,99,117,133
4,11,medium,1684571232941,27,41,101
4,12,high,1684571233958,90,35,26
4,13,low,1684571234970,68,56,93
4,14,low,1684571235973,14,35,79
4,15,high,1684571236977,95,61,134
4,16,high,1684571237994,18,25,70
4,17,low,1684571239010,22,79,144
4,18,medium,1684571240013,39,43,77
4,19,medium,1684571241023,4,93,129
4,21,low,1684571242036,33,40,25
4,23,medium,1684571243038,20,25,35
4,24,medium,1684571244061,6,116,111
4,25,high,1684571245080,49,39,137
4,26,medium,1684571246096,75,39,86
4,27,high,1684571247109,35,139,21
4,28,high,1684571248119,12,19,47
4,29,low,1684571249132,27,117,16
4,30,low,1684571250135,16,38,85
4,31,high,1684571251137,0,82,110
4,32,low,1684571252153,79,94,65
4,33,low,1684571253161,7,103,21
4,34,medium,1684571254175,84,40,95
4,35,high,1684571255182,59,39,82
4,36,high,1684571256191,17,88,36
4,37,medium,1684571257203,13,45,132
4,38,medium,1684571258222,83,57,69
4,40,low,1684571259240,21,108,104
4,41,high,1684571260243,31,17,18
4,42,high,1684571261257,50,132,58
4,43,high,1684571262260,86,37,32
4,44,low,1684571263263,42,36,96
4,45,medium,1684571264277,46,91,81
4,46,medium,1684571265296,4,100,55
4,47,low,1684571266298,7,23,122
4,48,medium,1684571267313,85,32,70
4,49,medium,1684571268326,33,50,71
4,51,medium,1684571269342,26,67,100
4,52,low,1684571270349,20,113,20
4,54,low,1684571271351,82,134,11
4,55,high,1684571272353,74,115,84
4,56,high,1684571273362,60,70,24
4,57,medium,1684571274378,87,12,22
4,58,medium,1684571275381,68,57,15
4,59,high,1684571276383,46,114,38
4,60,medium,1684571277400,0,87,35
4,62,low,1684571278414,11,17,96
4,63,low,1684571279426,18,131,77
4,64,high,1684571280438,52,76,25
4,65,medium,1684571281439,75,65,104
4,66,low,1684571282442,1,143,83
4,67,high,1684571283463,90,72,131
4,68,medium,1684571284469,42,66,112
4,69,medium,1684571285485,94,48,116
4,70,medium,1684571286500,99,74,15
